ID	logFC	logCPM	F	PValue	FDR
uc008hsk.1|Elovl3	-12.578011877709	7.87007060514729	1944.47592892513	2.20082485637338e-23	2.55361708085004e-19
uc007xrg.2|Letmd1	-4.00279563841926	9.12550152444887	1521.56127194685	3.37698005466975e-22	1.95915497871665e-18
uc009mjx.2|Ucp1	-10.2228695144394	10.6903245987434	1292.64118268636	2.06425074124146e-21	7.98383378354154e-18
uc009trx.1|Gk	-5.81706112136851	8.52208258443319	1222.33543592224	3.83675206659643e-21	8.90955542836059e-18
uc009chy.2|St3gal5	-5.4707571106827	6.55289948737767	1222.26125268878	3.83933268480591e-21	8.90955542836059e-18
uc008vox.1|Slc25a34	-6.81868520434784	7.47242533971775	1154.45131602353	7.22334483526548e-21	1.39687450205976e-17
uc009dqw.2|Clstn3	-5.02087195310479	7.94634344669376	1073.11179276785	1.62058001183831e-20	2.68622712533713e-17
uc008ynp.1|Tmed5	-3.2838255466173	8.78365590376838	948.945473790263	6.29709236168732e-20	8.07076292103563e-17
uc008xbu.3|Poln	-3.34784276074356	6.16131926074019	945.030364656323	6.59070345590311e-20	8.07076292103563e-17
uc007usq.2|Vwa8	-3.07365981811489	9.17619925978909	940.419387729413	6.95575534002899e-20	8.07076292103563e-17
uc009rqs.1|Slc25a20	-3.51891774300847	9.01533628361622	891.93312716783	1.24612640564879e-19	1.26982312191118e-16
uc008rid.1|Elovl6	-4.69744734736493	10.4400290524012	887.690646834324	1.31327048719591e-19	1.26982312191118e-16
uc009kio.2|Cox8b	-4.06595705701629	7.75119331152827	874.770458634687	1.54321621526048e-19	1.37737982658979e-16
uc009lzg.2|Slc25a42	-3.33972634295724	8.05131146893047	844.799846941245	2.26433412328093e-19	1.8766477737449e-16
uc008wgm.1|Perm1	-6.23927957382348	6.83427459176148	824.138522737013	2.97249988523726e-19	2.29932774456053e-16
uc012dmv.1|Pafah2	-3.59889574968547	6.71784750630012	813.882107170096	3.41086522174512e-19	2.47351682299429e-16
uc009ofo.2|4931406C07Rik	-3.24070910516836	8.80088020486209	772.58194575458	6.04081179471225e-19	4.07583588656974e-16
uc008icd.1|Prdx3	-2.54265875986423	8.74460763503628	769.373132395181	6.32293768493108e-19	4.07583588656974e-16
uc009hgi.1|Mcee	-2.74276474066491	6.73724197652161	745.604965000119	8.91885149367774e-19	5.44660178321805e-16
uc012dvn.1|Otop1	-4.97390492763437	8.45910437035187	740.33977563236	9.63891353468843e-19	5.5920156871495e-16
uc009mkx.2|Pkn1	-2.89818816576506	9.32595174429748	708.03041710638	1.57104108488628e-18	8.68037605139785e-16
uc008ofg.1|Slmo2	-2.88242855548362	7.85839685833718	704.421274807664	1.66137640424084e-18	8.76225019018474e-16
uc007srr.1|Ppif	-3.6332826116375	6.27784083231335	695.248361419046	1.91745949682724e-18	9.10344529836155e-16
uc008vxp.2|Eno1	-3.19609101348791	7.84312735056276	693.849264372141	1.96016252294747e-18	9.10344529836155e-16
uc009icn.1|Btbd1	-1.69508334235592	7.8019590721089	693.807853036397	1.96144214822924e-18	9.10344529836155e-16
uc007oxr.2|Syne3	3.4202366466847	6.90926811861981	689.52598169724	2.0987939857235e-18	9.36627177551915e-16
uc008ssr.2|Slc25a51	-2.18096985029586	9.46472164246726	680.662517855183	2.41758918622639e-18	1.03893656769573e-15
uc007xgs.2|Chkb	-2.73648121902723	6.50179531044863	676.985387969567	2.56500500366607e-18	1.06291975205491e-15
uc008uwe.1|Fndc5	-7.25743177919695	5.12826464095069	665.921645223738	3.07082847401989e-18	1.22864906151906e-15
uc029voj.2|Atp6v0a2	-2.21656418913305	7.86601443741676	662.534468032317	3.2466707259335e-18	1.25570401443355e-15
uc008oro.1|Armc1	-2.4086657520592	6.85038974282909	658.624188354617	3.4634183746332e-18	1.29632398067319e-15
uc007yac.2|Dnaja3	-2.43980878691305	8.76122534682961	649.192253305168	4.05390750684454e-18	1.43100600862805e-15
uc008rac.2|Fam102b	3.79336518603149	8.66151661642794	648.725929109335	4.08581740911334e-18	1.43100600862805e-15
uc011xdg.1|Lace1	-2.92972796345501	7.06185169979917	647.184682134404	4.19324349679855e-18	1.43100600862805e-15
uc007xgr.1|Cpt1b	-5.38883379820226	9.2497139982202	646.612135239827	5.15917603350317e-18	1.71034055762107e-15
uc007kvi.2|Mrps23	-2.30960566031908	6.67834388275814	632.650326320959	5.37199412011347e-18	1.71076811982692e-15
uc009ccm.1|Pyurf	-2.80937996470011	7.38273258381919	631.757431530954	5.45534951595244e-18	1.71076811982692e-15
uc008xbi.1|Letm1	-3.47627366085508	8.91273241845235	629.66110854593	5.65663700111811e-18	1.72720945063088e-15
uc008zdb.2|Acads	-2.11084134772296	8.60230377315115	624.573134764642	6.17962420922344e-18	1.79552101602786e-15
uc008pnt.2|Etfdh	-3.70441601097183	9.30440808198091	624.478372455633	6.18985095588333e-18	1.79552101602786e-15
uc009mxd.1|Coq9	-2.74153256315284	8.80058535995046	621.005386200206	6.57766942522676e-18	1.85230108407194e-15
uc008fly.1|Impa2	-3.89834166675286	5.68792808927195	619.914598528004	6.70487335439295e-18	1.85230108407194e-15
uc057and.1|Nudt7	-1.90421981476561	7.18202376522157	615.592442537395	7.23588647592445e-18	1.95251141349189e-15
uc007okf.1|Dio2	-7.31152279697854	8.55206137162351	700.592363750196	7.63665273137367e-18	2.01382003732111e-15
uc008jsc.2|Gpd2	-3.76863045196672	10.0016400901733	609.572083264011	8.05331578154935e-18	2.03584483453008e-15
uc007hyz.2|Tbrg4	-2.49693714468275	6.95588485862371	609.448671988313	8.07109044112588e-18	2.03584483453008e-15
uc009mxa.2|Ciapin1	-3.31054296983115	6.88697192111605	601.034842005891	9.3898005448865e-18	2.31219828259633e-15
uc007ysy.1|Kng2	-8.20956363356186	7.04495522577246	610.915904993736	9.56524326162404e-18	2.31219828259633e-15
uc008zyz.1|Mdh2	-2.24692972010498	9.0456966208583	596.419680085438	1.02114091890157e-17	2.38603924395556e-15
uc009gdp.1|Cox7a1	-5.27738813036125	7.02494789765807	607.725528568377	1.04701004515585e-17	2.38603924395556e-15
uc009bxc.1|Cycs	-3.36791254610966	5.63305387039772	594.654462034751	1.05460839710975e-17	2.38603924395556e-15
uc007wwk.1|Slc25a17	-3.44740122154161	6.79185521294109	593.897343392692	1.06932724886399e-17	2.38603924395556e-15
uc007lan.2|Phb	-2.69766055091322	6.54268334954242	590.66726077368	1.13468312384002e-17	2.48409967658787e-15
uc007mne.2|Sept9	-3.54789329527283	7.32516232230637	582.556496464794	1.31877927083238e-17	2.83366590360521e-15
uc009mll.3|Prkaca	-1.97002735587412	8.72236149948569	577.447672084458	1.4512872912154e-17	3.06168844363132e-15
uc009ibj.2|Wdr73	-2.15100311580408	5.49484861144494	575.49211777059	1.50578784896195e-17	3.11993864491169e-15
uc008uzd.1|Fabp3	-6.03524656453249	7.69168661709383	619.800105620371	1.67521028625957e-17	3.35523442744536e-15
uc008new.2|Srxn1	-2.46926955487586	6.94856648046609	569.377399224186	1.69108844340241e-17	3.35523442744536e-15
uc009prh.1|Idh3a	-3.41361628356917	10.2154970843462	568.914323727109	1.70610041557594e-17	3.35523442744536e-15
uc008ktn.2|Mtch2	-2.3185354140108	8.50891536032195	567.861079376066	1.74078756305669e-17	3.36639301569114e-15
uc008nkk.1|Trp53inp2	-1.81257748398812	9.07349354751437	555.874764918226	2.19451679851142e-17	4.1742587562505e-15
uc007syg.2|Oxnad1	-2.88057941253098	6.58182144076456	546.789653190657	2.62412944364384e-17	4.91093127977411e-15
uc008bdw.2|Fam234a	-1.72827896582353	7.97068988761563	543.24591112324	2.81584674543161e-17	5.18607456940366e-15
uc012eeh.1|Abhd11	-1.88234651349474	6.27563684993751	539.859786507996	3.01335809725379e-17	5.46312406288059e-15
uc008nod.1|Sla2	-2.35837537778982	7.57883394082294	531.370250516405	3.57810897233698e-17	6.38719975477322e-15
uc008hba.1|Dock8	-3.48449484156893	6.85080278699002	527.05145441744	3.90882518565514e-17	6.87183312562979e-15
uc008jlb.1|Ndufa8	-2.24684112671351	7.45817635592878	525.159581541236	4.06405587475259e-17	7.0380955693663e-15
uc008vae.2|Mecr	-2.3831290294396	7.3210087213398	523.955372380927	4.16635105520327e-17	7.10914283728288e-15
uc009kjq.1|Ptdss2	-2.08300446026594	6.81484744726538	522.131200239246	4.3266895368392e-17	7.27573604289061e-15
uc008bdg.1|Decr2	-1.95857493988962	6.5793538155904	521.319533502114	4.40018123867838e-17	7.29361470176932e-15
uc007jko.2|Cox10	-2.83894801387122	5.97329247852097	515.050326212088	5.01580443543371e-17	8.19695476962498e-15
uc008hml.1|Pgam1	-2.6243890907821	8.69759474641825	510.333542797706	5.54074040423023e-17	8.92905707087268e-15
uc007djd.1|Mpc2	-3.01569600109178	8.08691653273798	506.579178712283	6.00136098143724e-17	9.53887554350909e-15
uc008yak.1|Slc4a4	-2.67696594862178	9.40764841947483	504.369076764529	6.29189740798525e-17	9.86552508443958e-15
uc009erg.2|Lyrm5	-2.4933553245697	8.30936654972396	502.410598903001	6.56218028454491e-17	1.01521303788766e-14
uc008tyw.2|Acot11	-8.02513697176377	9.58892155090102	593.901040479201	7.19387282128352e-17	1.09829613612306e-14
uc007lej.2|Cisd3	-2.82415250562735	6.52105181639649	495.904897707589	7.55474933381381e-17	1.1384124223408e-14
uc007fuc.2|S100b	-3.78789989597327	7.3833105927209	495.605535785066	8.09475895739081e-17	1.20414728439238e-14
