ID	logFC	FDR	Direction
uc009eve.1|Ndufa3	0.5	0.05	down
uc009eve.1|Ndufa3	0.5	0.25	down
uc009tow.3|Fam3a	0.5	0.25	up
uc009tow.3|Fam3a	0.5	0.05	up
uc008mkm.2|Adam33	1	0.05	up
uc008mkm.2|Adam33	1	0.25	up
uc008mkm.2|Adam33	0.5	0.05	up
uc008mkm.2|Adam33	0.5	0.25	up
uc009qaj.1|Coro2b	0.5	0.25	up
uc009qaj.1|Coro2b	0.5	0.05	up
uc007tzi.1|Rnf31	1	0.05	up
uc007tzi.1|Rnf31	1	0.25	up
uc007tzi.1|Rnf31	0.5	0.25	up
uc007tzi.1|Rnf31	0.5	0.05	up
uc011zru.2|Ankrd33b	0.5	0.05	up
uc011zru.2|Ankrd33b	0.5	0.25	up
uc011zru.2|Ankrd33b	1	0.25	up
uc011zru.2|Ankrd33b	1	0.05	up
uc009peu.2|Ube4a	0.5	0.05	down
uc009peu.2|Ube4a	0.5	0.25	down
uc009jws.1|Orai3	0.5	0.25	down
uc009jws.1|Orai3	0.5	0.05	down
uc009oby.1|Pdgfd	0.5	0.25	down
uc009oby.1|Pdgfd	0.5	0.05	down
uc009oby.1|Pdgfd	1	0.25	down
uc009oby.1|Pdgfd	1	0.05	down
uc007zix.3|Abhd10	0.5	0.05	down
uc007zix.3|Abhd10	0.5	0.25	down
uc007ixc.2|Slc22a5	0.5	0.25	down
uc007ixc.2|Slc22a5	0.5	0.05	down
uc007ixc.2|Slc22a5	1	0.05	down
uc007ixc.2|Slc22a5	1	0.25	down
uc008odh.1|Rbm38	1	0.05	down
uc008odh.1|Rbm38	1	0.25	down
uc008odh.1|Rbm38	0.5	0.25	down
uc008odh.1|Rbm38	0.5	0.05	down
uc007iry.2|Mgat4b	0.5	0.25	down
uc007iry.2|Mgat4b	0.5	0.05	down
uc009qey.2|Usp3	0.5	0.25	down
uc009qey.2|Usp3	0.5	0.05	down
uc007whp.1|Tigd5	0.5	0.25	up
uc007whp.1|Tigd5	0.5	0.05	up
uc008xvw.2|Hopx	0.5	0.25	up
uc007shr.1|Rpl15	0.5	0.05	up
uc007shr.1|Rpl15	0.5	0.25	up
uc008pdy.1|Ndufc1	0.5	0.05	down
uc008pdy.1|Ndufc1	0.5	0.25	down
uc008pdy.1|Ndufc1	1	0.25	down
uc008pdy.1|Ndufc1	1	0.05	down
uc007lej.2|Cisd3	1	0.25	down
uc007lej.2|Cisd3	1	0.05	down
uc007lej.2|Cisd3	0.5	0.05	down
uc007lej.2|Cisd3	0.5	0.25	down
uc007eax.1|Smyd2	0.5	0.05	down
uc007eax.1|Smyd2	0.5	0.25	down
uc009qba.2|2300009A05Rik	1	0.25	down
uc009qba.2|2300009A05Rik	1	0.05	down
uc009qba.2|2300009A05Rik	0.5	0.05	down
uc009qba.2|2300009A05Rik	0.5	0.25	down
uc008wwz.2|Cad	0.5	0.25	down
uc008wwz.2|Cad	0.5	0.05	down
uc007mai.2|Nol11	0.5	0.05	down
uc007mai.2|Nol11	0.5	0.25	down
uc007oft.1|Npc2	1	0.25	up
uc007oft.1|Npc2	1	0.05	up
uc007oft.1|Npc2	0.5	0.25	up
uc007oft.1|Npc2	0.5	0.05	up
uc011zqg.1|Dock9	0.5	0.25	up
uc011zqg.1|Dock9	0.5	0.05	up
uc011zqg.1|Dock9	1	0.25	up
uc011zqg.1|Dock9	1	0.05	up
uc007zfe.2|Tmem39a	0.5	0.25	down
uc007zfe.2|Tmem39a	0.5	0.05	down
uc007hny.2|Cdk2	0.5	0.05	down
uc007hny.2|Cdk2	0.5	0.25	down
uc007mui.1|Dcxr	0.5	0.05	up
uc007mui.1|Dcxr	0.5	0.25	up
uc007svc.2|Tkt	0.5	0.25	down
uc007svc.2|Tkt	0.5	0.05	down
uc007svc.2|Tkt	1	0.05	down
uc007svc.2|Tkt	1	0.25	down
uc008cet.2|Lsm2	0.5	0.25	down
uc008cet.2|Lsm2	0.5	0.05	down
uc007idd.1|Sertad2	0.5	0.25	up
uc007idd.1|Sertad2	0.5	0.05	up
uc009cix.1|Retsat	1	0.05	down
uc009cix.1|Retsat	1	0.25	down
uc009cix.1|Retsat	0.5	0.05	down
uc009cix.1|Retsat	0.5	0.25	down
uc008jkk.3|Ggta1	0.5	0.25	up
uc008jkk.3|Ggta1	0.5	0.05	up
uc008jkk.3|Ggta1	1	0.05	up
uc008jkk.3|Ggta1	1	0.25	up
uc012aom.2|Cdkn1a	1	0.05	down
uc012aom.2|Cdkn1a	1	0.25	down
uc012aom.2|Cdkn1a	0.5	0.05	down
uc012aom.2|Cdkn1a	0.5	0.25	down
uc009erg.2|Lyrm5	0.5	0.05	down
uc009erg.2|Lyrm5	0.5	0.25	down
uc009erg.2|Lyrm5	1	0.25	down
uc009erg.2|Lyrm5	1	0.05	down
uc008vmc.2|Akr7a5	0.5	0.05	down
uc008vmc.2|Akr7a5	0.5	0.25	down
uc009eko.2|Dusp16	0.5	0.05	up
uc009eko.2|Dusp16	0.5	0.25	up
uc029sly.1|Gm4285	0.5	0.05	down
uc029sly.1|Gm4285	0.5	0.25	down
uc029sly.1|Gm4285	1	0.05	down
uc029sly.1|Gm4285	1	0.25	down
uc008vga.1|Syf2	1	0.25	up
uc008vga.1|Syf2	1	0.05	up
uc008vga.1|Syf2	0.5	0.25	up
uc008vga.1|Syf2	0.5	0.05	up
uc012fpx.1|Tpbgl	0.5	0.25	down
uc012fpx.1|Tpbgl	0.5	0.05	down
uc012fpx.1|Tpbgl	1	0.05	down
uc012fpx.1|Tpbgl	1	0.25	down
uc033hht.2|Mc2r	1	0.05	up
uc033hht.2|Mc2r	1	0.25	up
uc033hht.2|Mc2r	0.5	0.25	up
uc033hht.2|Mc2r	0.5	0.05	up
uc009dum.1|Plekhg6	0.5	0.05	up
uc009dum.1|Plekhg6	0.5	0.25	up
uc009dum.1|Plekhg6	1	0.25	up
uc009dum.1|Plekhg6	1	0.05	up
uc009clr.2|Dok1	0.5	0.05	up
uc009clr.2|Dok1	0.5	0.25	up
uc009clr.2|Dok1	1	0.05	up
uc009clr.2|Dok1	1	0.25	up
uc009lyg.3|Gatad2a	1	0.05	down
uc009lyg.3|Gatad2a	1	0.25	down
uc009lyg.3|Gatad2a	0.5	0.05	down
uc009lyg.3|Gatad2a	0.5	0.25	down
uc007sya.1|Ankrd28	0.5	0.25	down
uc007sya.1|Ankrd28	0.5	0.05	down
uc007sya.1|Ankrd28	1	0.25	down
uc007sya.1|Ankrd28	1	0.05	down
uc007jsy.1|Slc2a4	0.5	0.25	down
uc007jsy.1|Slc2a4	0.5	0.05	down
uc007jsy.1|Slc2a4	1	0.25	down
uc007jsy.1|Slc2a4	1	0.05	down
uc008ezm.2|Slc12a2	1	0.05	down
uc008ezm.2|Slc12a2	1	0.25	down
uc008ezm.2|Slc12a2	0.5	0.05	down
uc008ezm.2|Slc12a2	0.5	0.25	down
uc008svh.2|Msantd3	1	0.05	down
uc008svh.2|Msantd3	1	0.25	down
uc008svh.2|Msantd3	0.5	0.05	down
uc008svh.2|Msantd3	0.5	0.25	down
uc009lnn.1|Mtus1	0.5	0.25	down
uc009lnn.1|Mtus1	0.5	0.05	down
uc008ilj.2|A930004D18Rik	1	0.25	up
uc008ilj.2|A930004D18Rik	1	0.05	up
uc008ilj.2|A930004D18Rik	0.5	0.25	up
uc008ilj.2|A930004D18Rik	0.5	0.05	up
uc009nsb.2|Klhdc4	0.5	0.25	up
uc009nsb.2|Klhdc4	0.5	0.05	up
uc007tzd.1|Psme1	0.5	0.25	down
uc007tzd.1|Psme1	0.5	0.05	down
uc007udb.2|Ift88	0.5	0.25	up
uc007udb.2|Ift88	0.5	0.05	up
uc008jwx.1|Ttc21b	1	0.05	up
uc008jwx.1|Ttc21b	1	0.25	up
uc008jwx.1|Ttc21b	0.5	0.25	up
uc008jwx.1|Ttc21b	0.5	0.05	up
uc008pmg.1|Ppm1l	0.5	0.25	down
uc008pmg.1|Ppm1l	0.5	0.05	down
uc008pmg.1|Ppm1l	1	0.25	down
uc008pmg.1|Ppm1l	1	0.05	down
uc009mau.1|Ell	0.5	0.05	up
uc009mau.1|Ell	0.5	0.25	up
uc007grq.2|Chpt1	1	0.25	down
uc007grq.2|Chpt1	1	0.05	down
uc007grq.2|Chpt1	0.5	0.05	down
uc007grq.2|Chpt1	0.5	0.25	down
uc008kwm.2|Arhgap1	0.5	0.05	down
uc008kwm.2|Arhgap1	0.5	0.25	down
uc009ssm.2|Kdm6a	0.5	0.25	up
uc009ssm.2|Kdm6a	0.5	0.05	up
uc009dnc.1|Ccdc77	0.5	0.05	up
uc009dnc.1|Ccdc77	0.5	0.25	up
uc009dnc.1|Ccdc77	1	0.25	up
uc009dnc.1|Ccdc77	1	0.05	up
uc007rpn.1|Mrps27	0.5	0.25	down
uc007rpn.1|Mrps27	0.5	0.05	down
uc007rpn.1|Mrps27	1	0.25	down
uc007rpn.1|Mrps27	1	0.05	down
uc007afh.1|Lypla1	1	0.05	down
uc007afh.1|Lypla1	1	0.25	down
uc007afh.1|Lypla1	0.5	0.25	down
uc007afh.1|Lypla1	0.5	0.05	down
uc007mmi.1|Jmjd6	0.5	0.05	down
uc007mmi.1|Jmjd6	0.5	0.25	down
uc012cgl.1|Dusp15	1	0.25	down
uc012cgl.1|Dusp15	1	0.05	down
uc012cgl.1|Dusp15	0.5	0.05	down
uc012cgl.1|Dusp15	0.5	0.25	down
uc007jld.2|Zkscan6	0.5	0.05	up
uc007jld.2|Zkscan6	0.5	0.25	up
uc007xqe.2|Cox14	0.5	0.05	up
uc007xqe.2|Cox14	0.5	0.25	up
uc008pbo.1|Plk4	0.5	0.25	up
uc008pbo.1|Plk4	0.5	0.05	up
uc007zan.2|Itgb5	0.5	0.25	up
uc007zan.2|Itgb5	0.5	0.05	up
uc007zan.2|Itgb5	1	0.25	up
uc007zan.2|Itgb5	1	0.05	up
uc008mnn.1|Lrrn4	0.5	0.05	down
uc008mnn.1|Lrrn4	0.5	0.25	down
uc008jhm.2|Ralgps1	0.5	0.05	down
uc008jhm.2|Ralgps1	0.5	0.25	down
uc007rrh.1|Taf9	0.5	0.05	down
uc007rrh.1|Taf9	0.5	0.25	down
uc009ikt.1|Prkrir	0.5	0.25	down
uc009ikt.1|Prkrir	0.5	0.05	down
uc007ihw.1|Acyp2	0.5	0.25	down
uc007ihw.1|Acyp2	0.5	0.05	down
uc007ihw.1|Acyp2	1	0.05	down
uc007ihw.1|Acyp2	1	0.25	down
uc012bby.2|Pcdhb22	0.5	0.25	up
uc012bby.2|Pcdhb22	0.5	0.05	up
uc012bby.2|Pcdhb22	1	0.05	up
uc012bby.2|Pcdhb22	1	0.25	up
uc033idk.1|Podn	1	0.05	up
uc033idk.1|Podn	1	0.25	up
uc033idk.1|Podn	0.5	0.05	up
uc033idk.1|Podn	0.5	0.25	up
uc007cdm.1|Sned1	0.5	0.25	up
uc007cdm.1|Sned1	0.5	0.05	up
uc007cdm.1|Sned1	1	0.25	up
uc007cdm.1|Sned1	1	0.05	up
uc007nnx.1|Cfl2	0.5	0.05	down
uc007nnx.1|Cfl2	0.5	0.25	down
uc009hxh.2|Ntrk3	0.5	0.25	up
uc009hxh.2|Ntrk3	0.5	0.05	up
uc007fve.1|Slc19a1	0.5	0.25	down
uc007fve.1|Slc19a1	0.5	0.05	down
uc007fve.1|Slc19a1	1	0.05	down
uc007fve.1|Slc19a1	1	0.25	down
uc009gdr.1|Capns1	1	0.05	down
uc009gdr.1|Capns1	1	0.25	down
uc009gdr.1|Capns1	0.5	0.25	down
uc009gdr.1|Capns1	0.5	0.05	down
uc007tnr.2|Arhgef40	0.5	0.05	up
uc007tnr.2|Arhgef40	0.5	0.25	up
uc007qpv.2|Uimc1	0.5	0.25	up
uc007qpv.2|Uimc1	0.5	0.05	up
uc009lyc.1|Yjefn3	1	0.25	up
uc009lyc.1|Yjefn3	1	0.05	up
uc009lyc.1|Yjefn3	0.5	0.05	up
uc009lyc.1|Yjefn3	0.5	0.25	up
uc011yyj.1|Rpp40	0.5	0.05	down
uc011yyj.1|Rpp40	0.5	0.25	down
uc011yyj.1|Rpp40	1	0.25	down
uc011yyj.1|Rpp40	1	0.05	down
uc007ycq.1|Tmem186	0.5	0.05	down
uc007ycq.1|Tmem186	0.5	0.25	down
uc007ycq.1|Tmem186	1	0.25	down
uc007ycq.1|Tmem186	1	0.05	down
uc007dkm.2|Tada1	0.5	0.05	up
uc007dkm.2|Tada1	0.5	0.25	up
uc007xhj.1|Alg10b	0.5	0.25	up
uc007xhj.1|Alg10b	0.5	0.05	up
uc009hzi.2|Zfp710	0.5	0.25	down
uc009hzi.2|Zfp710	0.5	0.05	down
uc008zhf.1|Sdsl	0.5	0.25	down
uc008zhf.1|Sdsl	0.5	0.05	down
uc008zhf.1|Sdsl	1	0.05	down
uc008zhf.1|Sdsl	1	0.25	down
uc007kqr.1|Mrm1	0.5	0.05	down
uc007kqr.1|Mrm1	0.5	0.25	down
uc007imv.2|Pwwp2a	0.5	0.25	up
uc007imv.2|Pwwp2a	0.5	0.05	up
uc012aqc.1|Notch4	0.5	0.05	up
uc012aqc.1|Notch4	0.5	0.25	up
uc011zcc.1|Fam172a	0.5	0.25	up
uc011zcc.1|Fam172a	0.5	0.05	up
uc007mjv.1|Wbp2	0.5	0.25	down
uc007mjv.1|Wbp2	0.5	0.05	down
uc007mjv.1|Wbp2	1	0.25	down
uc007mjv.1|Wbp2	1	0.05	down
uc012ems.1|Herc3	0.5	0.25	down
uc012ems.1|Herc3	0.5	0.05	down
uc012ems.1|Herc3	1	0.25	down
uc012ems.1|Herc3	1	0.05	down
uc007mrp.2|Cep131	0.5	0.25	up
uc007mrp.2|Cep131	0.5	0.05	up
uc007oei.1|Acot6	1	0.25	down
uc007oei.1|Acot6	1	0.05	down
uc007oei.1|Acot6	0.5	0.25	down
uc007oei.1|Acot6	0.5	0.05	down
uc008hcx.1|Ak3	0.5	0.25	down
uc008hcx.1|Ak3	0.5	0.05	down
uc008hcx.1|Ak3	1	0.25	down
uc008hcx.1|Ak3	1	0.05	down
uc009jnb.3|Eef2k	1	0.25	up
uc009jnb.3|Eef2k	1	0.05	up
uc009jnb.3|Eef2k	0.5	0.25	up
uc009jnb.3|Eef2k	0.5	0.05	up
uc007gke.1|Chst11	1	0.25	down
uc007gke.1|Chst11	1	0.05	down
uc007gke.1|Chst11	0.5	0.05	down
uc007gke.1|Chst11	0.5	0.25	down
uc009scn.1|Myrip	0.5	0.05	down
uc009scn.1|Myrip	0.5	0.25	down
uc007jjf.2|Cenpv	0.5	0.05	up
uc007jjf.2|Cenpv	0.5	0.25	up
uc008ira.2|Tprn	0.5	0.05	up
uc008ira.2|Tprn	0.5	0.25	up
uc007ksg.2|Brip1os	0.5	0.25	up
uc007ksg.2|Brip1os	0.5	0.05	up
uc012gio.1|Nlrc5	0.5	0.05	up
uc012gio.1|Nlrc5	0.5	0.25	up
